raw_datafile,location,count_1,count_2,count_3,count_4,count_5,mean_count,calc_mean,mean_diff
BPPEEP00.xls,WNW Brun.Corner,32000,,,,,,32000,32000
BPPEEP00.xls,WNW Brun.Corner,19000,22000,26000,,,24750,22333,-2417
BPPEEP00.xls,Bruns.corner,4000,,,,,,4000,4000
BPPEEP00.xls,Bruns.corner,4200,5900,5400,,,5650,5167,-483
BPPEEP01.xls,mudflat,20000,,,,,,20000,20000
BPPEEP01.xls,Bruns.corner,30000,25000,28000,,,28000,27667,-333
BPPEEP2002.xls,Canoe Pass-Bruns Pt.,35000,,,,,,35000,35000
BPPEEP2004.xls,Bruns.corner,80000,85000,65000,,,77000,76667,-333
BPPEEP2004.xls,west end mumblies,35000,43000,38000,47000,,41000,40750,-250
BPPEEP2004.xls,Bruns. Corner-west end mumblies,37000,40000,,,,40000,38500,-1500
BPPEEP2004.xls,east of east end pilings (34th pullout),3100,4600,,,,4600,3850,-750
BPPeep2006.xls,Bruns corner at tide edge (flock 1),1.00E+05,130000,155000,,,130000,128333,-1667
BPPeep2006.xls,WNW side Bruns(Canoe Pass),7000,,,,,,7000,7000
BPPeep2006.xls,WNW side Bruns(Canoe Pass),8460,,,,,,8460,8460
BPPeep2006.xls,Bruns.corner and west end mumblies,31000,32500,,,,32000,31750,-250
BPPeep2007.xls,off pilings on mumblies,50000,,,,,,50000,50000
BPPeep2007.xls,Bruns.corner and west end mumblies,76000,,,,,,76000,76000
BPPeep2007.xls,Bruns.corner and west end mumblies,,145000,163000,,,145000,154000,9000
BPPeeps2008.xls,flying east towards CP jetty,1500,,,,,,1500,1500
BPPeeps2008.xls,west of W end pilings (outer mud),500,,,,,,500,500
BPPeeps2008.xls,in flight from CP end towards BP end,2500,,,,,,2500,2500
BPPeeps2008.xls,C.Port corner - tide edge,1700,,,,,,1700,1700
BPPeeps2008.xls,C.Port corner,1700,,,,,,1700,1700
BPPeeps2008.xls,WNW side Bruns(Canoe Pass),35000,,,,,,35000,35000
BPPeeps2009.xls,Brunswick Pt corner,80000,97000,95000,,,91000,90667,-333
BPPeeps2009.xls,west end mumblies - tide edge,90000,105000,92000,,,96000,95667,-333
BPPeeps2010.xls,Bruns Point corner,1000,,,,,,1000,1000
BPPeeps2010.xls,west end mumblies outer tide edge - flying,2000,,,,,,2000,2000
BPPeeps2010.xls,CP corner - tide edge,300,,,,,,300,300
BPPeeps2010.xls,mid pilings to Bruns Pt marsh tip,2000,,,,,,2000,2000
BPPeeps2011.xls,WNW side Bruns(Canoe Pass),70000,,,,,,70000,70000
BPPeeps2011.xls,Brunswick Pt corner mudroost,37000,,,,,,37000,37000
BPPeeps2011.xls,Brunswick Pt corner mudislet,6000,,,,,,6000,6000
BPPeeps2011.xls,off pilings (on mumblies),10000,,,,,,10000,10000
BPPeeps2011.xls,WNW side Bruns(Canoe Pass),1500,,,,,,1500,1500
BPPeeps2011.xls,Brunswick Pt corner -tide edge,10000,,,,,,10000,10000
BPPeeps2011.xls,Brunswick Pt corner -tide edge,14000,,,,,,14000,14000
BPPeeps2011.xls,view corner - tide edge (w end mumblies),47000,54000,,,,,50500,50500
BPPeeps2011.xls,Brunswick Pt corner mudroost,3500,,,,,,3500,3500
BPPeeps2011.xls,Brunswick Pt corner mudislet,7000,,,,,,7000,7000
BPPeeps2011.xls,Brunswick Pt corner mudroost,12000,,,,,,12000,12000
BPPeeps2011.xls,view corner (west end mumblies to pilings),42000,,,,,,42000,42000
BPPeeps2011.xls,view corner - BP w. end mumblies -tide edge,12000,13500,18000,,,18000,14500,-3500
BPPeeps2011.xls,from bend - outer mumblies islets,2500,,,,,,2500,2500
BPPeeps2011.xls,pilings -  on mumblies islets,60000,,,,,,60000,60000
BPPeeps2011.xls,Brunswick Pt corner mudroost,13000,,,,,,13000,13000
BPPeeps2011.xls,C.Port corner,1300,,,,,,1300,1300
BPPeeps2011.xls,Brunswick Pt corner mudislet,1200,1350,,,,,1275,1275
BPPeeps2011.xls,Brunswick Pt corner mudroost,16000,17500,,,,,16750,16750
BPPeeps2011.xls,Brunswick Pt corner mudislet,9000,10500,,,,,9750,9750
BPPeeps2011.xls,Brunswick Pt corner mudislet (another),18500,19500,,,,,19000,19000
BPPeeps2011.xls,C.Port corner,2700,2800,2400,,,,2633,2633
BPPeeps2011.xls,view corner - tide edge W end mumblies,39500,27500,,,,,33500,33500
BPPeeps2011.xls,WNW side Bruns(Canoe Pass),12000,,,,,,12000,12000
BPPeeps2011.xls,Brunswick Pt corner mudroost,4000,,,,,,4000,4000
BPPeeps2011.xls,Brunswick Pt corner mudislet,50000,,,,,,50000,50000
BPPeeps2011.xls,from view corner - BP mudroost,7000,6500,,,,,6750,6750
BPPeeps2011.xls,from view corner - BP mudislet,48000,45000,,,,,46500,46500
BPPeeps2011.xls,C.Port corner,3400,,,,,,3400,3400
BPPeeps2011.xls,from view corner - BP mudroost,1900,1600,1900,,,,1800,1800
BPPeeps2011.xls,from view corner - BP mudislet,34500,34500,37500,,,,35500,35500
BPPeeps2011.xls,WNW side Bruns(Canoe Pass),1000,,,,,,1000,1000
BPPeeps2011.xls,C.Port corner,18500,20000,18000,,,,18833,18833
BPPeeps2011.xls,beyond CP jetty sidemarsh,900,,,,,,900,900
BPPeeps2011.xls,WNW side Bruns(Canoe Pass),600,,,,,,600,600
BPPeeps2011.xls,view corner - tide edge,25000,,,,,,25000,25000
BPPeeps2011.xls,34th pullout - mumblies,320,,,,,,320,320
BPPeeps2011.xls,view corner - Bruns Pt corner area,80000,,,,,,80000,80000
BPPeeps2011.xls,piling pullout - mumblies tide edge,90000,75000,95000,,,87000,86667,-333
BPPeeps2011.xls,view corner- tide line west end mumblies,110000,95000,1.00E+05,,,102000,101667,-333
BPPeeps2011.xls,BP mudroost to view corner,5000,,,,,,5000,5000
BPPeeps2011.xls,west end mumblies,6000,,,,,,6000,6000
BPPeeps2012.xls,view corner - west end mumblies(mudislet),36000,50000,50000,,,,45333,45333
BPPeeps2012.xls,C.Port corner,450,,,,,,450,450
BPPeeps2012.xls,pilings viewpoint,85000,80000,80000,,,82000,81667,-333
BPPeeps2012.xls,view corner (near mud),3000,,,,,,3000,3000
BPPeeps2012.xls,C.Port corner,1100,2100,,,,,1600,1600
BPPeeps2012.xls,bend in road (outer and inner mud) (count 1),4700,,,,,,4700,4700
BPPeeps2012.xls,pilings pullout viewpoint (count 1),1050,,,,,,1050,1050
BPPeeps2012.xls,view corner (count 1),96000,,,,,,96000,96000
BPPeeps2012.xls,pilings pullout viewpoint (count 2),12000,,,,,,12000,12000
BPPeeps2012.xls,view corner (count 2),85000,,,,,,85000,85000
BPPeeps2012.xls,view corner (count 3),105000,,,,,,105000,105000
BPPeeps2012.xls,view corner (BP corner&West end mumblies),39500,45000,,,,45000,42250,-2750
BPPeeps2012.xls,view corner (BP corner&West end mumblies),24000,37000,,,,,30500,30500
BPPeeps2013_ML.xls,pilings (inner mud),24000,,,,,,24000,24000
BPPeeps2013_ML.xls,view corner (inner mud to BP marsh),46000,,,,,,46000,46000
BPPeeps2013_ML.xls,view corner (outer tide line to corner),15000,,,,,,15000,15000
BPPeeps2014MD.xlsx,34th street pullout,4200,,,,,700,4200,3500
BPPeeps2014MD.xlsx,pilings bend,500,,,,,1000,500,-500
BPPeeps2016.xlsx,view corner,22000,27000,,,,27000,24500,-2500
BPPeeps2016.xlsx,view corner,37000,,,,,,37000,37000
BPPeeps2016.xlsx,pilings pullout,34100,,,,,,34100,34100
BPPeeps2016.xlsx,pilings pullout,18500,,,,,,18500,18500
