"station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","date","time","year","month","day","hour","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","precip_amt","precip_amt_flag"
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 00:00:00,"2000","04","10","00:00","Mainly Clear",,,102.32,,87,,7.7,5.7,,,48.3,,,,11,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 01:00:00,"2000","04","10","01:00","Mainly Clear",,,102.32,,87,,8,6,,,48.3,,,,9,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 02:00:00,"2000","04","10","02:00","Mostly Cloudy",,,102.35,,90,,7.6,6,,,48.3,,,,9,,11,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 03:00:00,"2000","04","10","03:00","Mostly Cloudy",,,102.35,,90,,7.7,6.1,,,48.3,,,,11,,17,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 04:00:00,"2000","04","10","04:00","Mostly Cloudy",,,102.35,,88,,8.1,6.3,,,48.3,,,,10,,17,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 05:00:00,"2000","04","10","05:00","Mostly Cloudy",,,102.39,,85,,8.6,6.3,,,48.3,,,,11,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 06:00:00,"2000","04","10","06:00","Mostly Cloudy",,,102.39,,89,,7.8,6.1,,,48.3,,,,10,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 07:00:00,"2000","04","10","07:00","Mostly Cloudy",,,102.42,,86,,9.3,7.1,,,48.3,,,,11,,11,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 08:00:00,"2000","04","10","08:00","Mostly Cloudy",,,102.42,,81,,10.7,7.6,,,48.3,,,,9,,11,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 09:00:00,"2000","04","10","09:00","Mostly Cloudy",,,102.42,,71,,12.4,7.3,,,48.3,,,,11,,7,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 10:00:00,"2000","04","10","10:00","Mostly Cloudy",,,102.42,,73,,13,8.2,,,48.3,,,,23,,15,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 11:00:00,"2000","04","10","11:00","Mainly Clear",,,102.42,,81,,12.2,9.1,,,48.3,,,,26,,15,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 12:00:00,"2000","04","10","12:00","Mostly Cloudy",,,102.42,,81,,12.2,9.1,,,48.3,,,,28,,17,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 13:00:00,"2000","04","10","13:00","Mostly Cloudy",,,102.39,,82,,12.2,9.3,,,48.3,,,,28,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 14:00:00,"2000","04","10","14:00","Mostly Cloudy",,,102.32,,81,,12.8,9.7,,,48.3,,,,29,,15,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 15:00:00,"2000","04","10","15:00","Mostly Cloudy",,,102.32,,74,,13.8,9.3,,,48.3,,,,28,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 16:00:00,"2000","04","10","16:00","Mainly Clear",,,102.25,,74,,13.5,8.9,,,48.3,,,,28,,9,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 17:00:00,"2000","04","10","17:00","Mainly Clear",,,102.22,,72,,13.1,8.1,,,48.3,,,,28,,7,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 18:00:00,"2000","04","10","18:00","Mostly Cloudy",,,102.15,,80,,11.8,8.4,,,48.3,,,,28,,9,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 19:00:00,"2000","04","10","19:00","Mostly Cloudy",,,102.15,,87,,10.5,8.4,,,48.3,,,,28,,7,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 20:00:00,"2000","04","10","20:00","Mostly Cloudy",,,102.18,,89,,10.5,8.7,,,48.3,,,,28,,4,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 21:00:00,"2000","04","10","21:00","Mostly Cloudy",,,102.18,,89,,10.2,8.4,,,48.3,,,,,,0,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 22:00:00,"2000","04","10","22:00","Mainly Clear",,,102.15,,88,,10.2,8.3,,,48.3,,,,,,0,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-10,2000-04-10 23:00:00,"2000","04","10","23:00","Mainly Clear",,,102.15,,82,,9.9,7,,,48.3,,,,,,0,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-17,2000-04-17 00:00:00,"2000","04","17","00:00","Clear",,,101.37,,79,,5.1,1.7,,,48.3,,,,8,,13,,,
"VANCOUVER INT'L A",889,,"BC",49.2,-123.18,4.3,"1108447",,"YVR",2000-04-17,2000-04-17 01:00:00,"2000","04","17","01:00","Clear",,,101.37,,77,,5.4,1.7,,,48.3,,,,9,,15,,,
