survey_date,start_time,station,station_n,station_s,mumblies_yn,mud_yn,marsh_yn,tide_edge_yn,flying_yn,final_count,p_wesa,elev_min,elev_max,elev_median,elev_mean,elev_range,flow,total_precip,mean_temp,u,v,windspd,wind_deg,station_n_no,station_s_no,station_diff,year,julian_day,dos,n_s
1997-04-21,17:35,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,13930,60,1.6,4.13,3.17,3.056666667,2.53,3430,0,8.3,2.95201902,-6.894399988,12.45833333,-37.88846445,3,,,1997,111,-0.980946821,N
1997-04-21,18:05,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,60,1.6,4.13,3.17,3.056666667,2.53,3430,0,8.3,2.95201902,-6.894399988,12.45833333,-37.88846445,8,,,1997,111,-0.980946821,S
1997-04-21,18:05,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,60,1.6,4.13,3.17,3.056666667,2.53,3430,0,8.3,2.95201902,-6.894399988,12.45833333,-37.88846445,8,,,1997,111,-0.980946821,S
1997-04-21,17:50,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,100,60,1.6,4.13,3.17,3.056666667,2.53,3430,0,8.3,2.95201902,-6.894399988,12.45833333,-37.88846445,5,,,1997,111,-0.980946821,N
1997-04-22,17:05,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,13000,52.31788079,1.42,4.28,3.235,3.109166667,2.86,3670,5.6,10.7,-2.325783656,3.963163374,11.16666667,147.3275583,3,,,1997,112,-0.84047034,N
1997-04-22,17:25,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,52.31788079,1.42,4.28,3.235,3.109166667,2.86,3670,5.6,10.7,-2.325783656,3.963163374,11.16666667,147.3275583,8,,,1997,112,-0.84047034,S
1997-04-22,17:25,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,52.31788079,1.42,4.28,3.235,3.109166667,2.86,3670,5.6,10.7,-2.325783656,3.963163374,11.16666667,147.3275583,8,,,1997,112,-0.84047034,S
1997-04-22,0:00,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,0,52.31788079,1.42,4.28,3.235,3.109166667,2.86,3670,5.6,10.7,-2.325783656,3.963163374,11.16666667,147.3275583,5,,,1997,112,-0.84047034,N
1997-04-25,9:30,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,53700,70.58319039,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.041889066,7,9.25,92.45501313,3,,,1997,115,-0.419040896,N
1997-04-25,9:00,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,21500,70.58319039,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.041889066,7,9.25,92.45501313,8,,,1997,115,-0.419040896,S
1997-04-25,9:00,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,32500,70.58319039,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.041889066,7,9.25,92.45501313,8,,,1997,115,-0.419040896,S
1997-04-25,9:15,Pilings (outer mud),Pilings,,FALSE,TRUE,FALSE,FALSE,FALSE,22400,70.58319039,0.89,4.34,3.155,3.00375,3.45,4160,3.4,12.7,-1.041889066,7,9.25,92.45501313,5,,,1997,115,-0.419040896,N
