Year,Julian.date,Date,WESA,DUNL,Year.factor,log.WESA,log.DUNL,DOY.c,Discharge,amp,IR,avg.temp.day,avg.wind.dir,avg.wind.spd,Windspd,WindDir,WindDeg,Total.Precip..mm.,MERL,PEFA,presence,DOY,Year.fac
1991,105,15/04/1991,NA,NA,1991,NA,NA,-15,1760,3.61,0.857908333,9.504166667,18.5,5.75,5.75,-3.054326191,-175,0,NA,NA,NA,105,1991
1991,106,16/04/1991,NA,NA,1991,NA,NA,-14,1930,3.87,0.9126,10.82083333,21.71428571,9.166666667,9.166666667,-2.493327503,-142.8571429,0,NA,NA,NA,106,1991
1991,107,17/04/1991,NA,NA,1991,NA,NA,-13,2170,4.06,0.906675,11.20416667,15.04166667,9.208333333,9.208333333,2.625266083,150.4166667,0,NA,NA,NA,107,1991
1991,108,18/04/1991,NA,NA,1991,NA,NA,-12,2430,4.1,0.802045833,10.22083333,17.83333333,7.416666667,7.416666667,3.112503833,178.3333333,0,NA,NA,NA,108,1991
1991,109,19/04/1991,NA,NA,1991,NA,NA,-11,2750,3.92,0.887904167,11.35833333,22.84210526,5.833333333,5.833333333,-2.296485858,-131.5789474,0,NA,NA,NA,109,1991
1991,110,20/04/1991,NA,NA,1991,NA,NA,-10,3000,3.72,0.9140375,12.44166667,25.82352941,9.041666667,9.041666667,-1.77612918,-101.7647059,0,NA,NA,NA,110,1991
1991,111,21/04/1991,NA,NA,1991,NA,NA,-9,3470,3.42,0.909395833,12.78333333,11.71428571,11.04166667,11.04166667,2.044528552,117.1428571,0,NA,NA,NA,111,1991
1991,112,22/04/1991,12897.51686,10102.48314,1991,9.464867611,9.220635509,-8,3760,3.08,0.346933333,10.67916667,12.125,14.83333333,14.83333333,2.116211718,121.25,0,NA,NA,NA,112,1991
1991,113,23/04/1991,NA,NA,1991,NA,NA,-7,4140,2.57,0.2631375,9.65,11.70833333,13.33333333,13.33333333,2.043489666,117.0833333,2.8,NA,NA,NA,113,1991
1991,114,24/04/1991,NA,NA,1991,NA,NA,-6,4490,2.49,0.783795833,9.004166667,17.375,16.29166667,16.29166667,3.032509575,173.75,3.8,NA,NA,NA,114,1991
1991,115,25/04/1991,NA,NA,1991,NA,NA,-5,4730,2.61,0.73255,7.825,15.2173913,9.583333333,9.583333333,2.655935818,152.173913,0,NA,NA,NA,115,1991
1991,116,26/04/1991,NA,NA,1991,NA,NA,-4,4940,2.9,0.683325,7.954166667,17.66666667,13.875,13.875,3.083415012,176.6666667,0,NA,NA,NA,116,1991
1991,117,27/04/1991,NA,NA,1991,NA,NA,-3,5170,3.17,0.93505,9.954166667,23.66666667,15.875,15.875,-2.152572744,-123.3333333,0,NA,NA,NA,117,1991
1991,118,28/04/1991,NA,NA,1991,NA,NA,-2,5260,3.43,0.383420833,7.595833333,16.29166667,13.91666667,13.91666667,2.84343224,162.9166667,5.6,NA,NA,NA,118,1991
1991,119,29/04/1991,NA,NA,1991,NA,NA,-1,5080,3.7,0.8882875,8.8375,23.93333333,5.666666667,5.666666667,-2.106030631,-120.6666667,0,NA,NA,NA,119,1991
1991,120,30/04/1991,NA,NA,1991,NA,NA,0,4730,3.73,1.003341667,10.99583333,28.10526316,13.70833333,13.70833333,-1.377891515,-78.94736842,0,NA,NA,NA,120,1991
1991,121,01/05/1991,NA,NA,1991,NA,NA,1,4410,3.67,1.052525,12.95,29.45454545,13,13,-1.142397329,-65.45454545,0,NA,NA,NA,121,1991
1991,122,02/05/1991,76372.33212,6727.667876,1991,11.24338886,8.814132465,2,4240,3.54,1.006833333,14.25833333,24.27777778,7.625,7.625,-2.045913734,-117.2222222,0,NA,NA,NA,122,1991
1991,123,03/05/1991,55236.78248,4763.217521,1991,10.91940246,8.468888589,3,NA,3.31,0.929291667,12.96666667,11.47826087,15.75,15.75,2.003334446,114.7826087,0,NA,NA,NA,123,1991
1991,124,04/05/1991,NA,NA,1991,NA,NA,4,4240,3.1,0.614666667,11.29166667,12.45833333,14.20833333,14.20833333,2.17438936,124.5833333,0,NA,NA,NA,124,1991
1991,125,05/05/1991,36629.42812,3370.571877,1991,10.50863454,8.123134347,5,4340,2.78,0.310725,11.20833333,9.375,13.875,13.875,1.636246174,93.75,6.8,NA,NA,NA,125,1991
1991,126,06/05/1991,29991.62914,3008.370865,1991,10.30870693,8.009486321,6,4430,2.54,0.348966667,11.53333333,11.17391304,8.458333333,8.458333333,1.950215729,111.7391304,18.2,NA,NA,NA,126,1991
1991,127,07/05/1991,20658.66833,2341.331669,1991,9.935938689,7.758902152,7,4520,2.23,0.2337125,10.375,9.5,15.875,15.875,1.658062789,95,14.4,NA,NA,NA,127,1991
1991,128,08/05/1991,12359.54662,1640.453381,1991,9.422264955,7.403337336,8,4600,2.15,0.39515,9.725,16.73913043,10.54166667,10.54166667,2.9215294,167.3913043,5.8,NA,NA,NA,128,1991
1991,129,09/05/1991,10334.9017,1665.098299,1991,9.243378716,7.418239824,9,4670,2.04,0.990891667,10.89583333,20.625,13.625,13.625,-2.683443725,-153.75,0,NA,NA,NA,129,1991
1991,130,10/05/1991,4489.856976,910.1430239,1991,8.409798826,6.814699882,10,4780,2.55,0.819908333,11.35833333,17.5,10.625,10.625,3.054326191,175,0,NA,NA,NA,130,1991
1991,131,11/05/1991,237.2746004,62.7253996,1991,5.473423792,4.154583221,11,5010,2.88,1.096008333,12.81666667,18.08695652,10.83333333,10.83333333,-3.126415877,-179.1304348,0,NA,NA,NA,131,1991
1991,132,12/05/1991,NA,NA,1991,NA,NA,12,5290,3.46,0.283591667,12.225,10.375,14.54166667,14.54166667,1.810779099,103.75,0,NA,NA,NA,132,1991
1991,133,13/05/1991,NA,NA,1991,NA,NA,13,5470,3.9,0.997266667,12.24166667,16.25,8.875,8.875,2.836160034,162.5,0,NA,NA,NA,133,1991
1991,134,14/05/1991,NA,NA,1991,NA,NA,14,5720,4.28,0.930266667,11.73333333,11.70833333,13.66666667,13.66666667,2.043489666,117.0833333,0,NA,NA,NA,134,1991
1991,135,15/05/1991,NA,NA,1991,NA,NA,15,6020,4.54,0.7694,12.925,18.45833333,9.791666667,9.791666667,-3.061598396,-175.4166667,0,NA,NA,NA,135,1991
1992,105,14/04/1992,NA,NA,1992,NA,NA,-15,NA,NA,0.5817875,13.32916667,13.33333333,11.375,11.375,2.327105669,133.3333333,0.6,NA,NA,NA,105,1992
1992,106,15/04/1992,NA,NA,1992,NA,NA,-14,2250,2.99,0.225945833,12.55833333,10.09090909,9.166666667,9.166666667,1.761195882,100.9090909,3,NA,NA,NA,106,1992
1992,107,16/04/1992,NA,NA,1992,NA,NA,-13,2280,3.32,0.289254167,13.1625,13.60869565,16.875,16.875,2.37516546,136.0869565,12.6,NA,NA,NA,107,1992
1992,108,17/04/1992,NA,NA,1992,NA,NA,-12,2550,3.67,0.550745833,10.99166667,16.52173913,15.04166667,15.04166667,2.88358746,165.2173913,8,NA,NA,NA,108,1992
1992,109,18/04/1992,NA,NA,1992,NA,NA,-11,2620,3.88,0.925579167,10.78333333,23.31818182,18.20833333,18.20833333,-2.213394824,-126.8181818,0,NA,NA,NA,109,1992
1992,110,19/04/1992,NA,NA,1992,NA,NA,-10,2790,3.97,0.4501,10.10416667,15.31818182,6.458333333,6.458333333,2.673527081,153.1818182,2,NA,NA,NA,110,1992
1992,111,20/04/1992,NA,NA,1992,NA,NA,-9,3090,3.78,0.7587375,10.92916667,21,5.75,5.75,-2.617993878,-150,0.8,NA,NA,NA,111,1992
1992,112,21/04/1992,NA,NA,1992,NA,NA,-8,3280,3.6,0.800966667,8.720833333,14.41666667,11.08333333,11.08333333,2.516183005,144.1666667,1.4,NA,NA,NA,112,1992
1992,113,22/04/1992,15953.25795,8546.742047,1992,9.677481029,9.053422439,-7,3300,3.3,0.6563125,8.604166667,22.45833333,10.125,10.125,-2.363466695,-135.4166667,8.4,NA,NA,NA,113,1992
1992,114,23/04/1992,NA,NA,1992,NA,NA,-6,3330,3.04,0.798429167,8.825,17.28571429,6.416666667,6.416666667,3.016926278,172.8571429,0,NA,NA,NA,114,1992
1992,115,24/04/1992,62701.46892,17498.53108,1992,11.0461561,9.769929364,-5,3320,2.54,0.547795833,13.65833333,10.57894737,9.166666667,9.166666667,1.84637463,105.7894737,0,NA,NA,NA,115,1992
1992,116,25/04/1992,NA,NA,1992,NA,NA,-4,3240,2.31,0.641883333,14.54166667,21.5,9.583333333,9.583333333,-2.530727415,-145,0,NA,NA,NA,116,1992
1992,117,26/04/1992,NA,NA,1992,NA,NA,-3,3170,2.11,0.226995833,14.05833333,11.54166667,7.166666667,7.166666667,2.014400845,115.4166667,18.4,NA,NA,NA,117,1992
1992,118,27/04/1992,NA,NA,1992,NA,NA,-2,3300,1.91,0.585108333,13.77916667,15.90909091,6.458333333,6.458333333,2.776660174,159.0909091,6,NA,NA,NA,118,1992
1992,119,28/04/1992,NA,NA,1992,NA,NA,-1,3500,2.1,0.143670833,12.375,13.57894737,4.708333333,4.708333333,2.369973405,135.7894737,7.4,NA,NA,NA,119,1992
1992,120,29/04/1992,837743.5501,85756.44992,1992,13.6384685,11.35927824,0,4210,2.31,0.173883333,13.07083333,18.55,12.625,12.625,-3.045599545,-174.5,39.6,NA,NA,NA,120,1992
1992,121,30/04/1992,NA,NA,1992,NA,NA,1,4950,2.82,0.946183333,10.4125,27.23809524,12,12,-1.529240868,-87.61904762,1.6,NA,NA,NA,121,1992
1992,122,01/05/1992,28030.75968,2469.240316,1992,10.24109342,7.812070719,2,4850,3.05,0.775225,10.97916667,12.2,7.666666667,7.666666667,2.129301687,122,0,NA,NA,NA,122,1992
1992,123,02/05/1992,NA,NA,1992,NA,NA,3,4930,3.48,0.803808333,12.87083333,16.14285714,6.541666667,6.541666667,2.817460078,161.4285714,0,NA,NA,NA,123,1992
1992,124,03/05/1992,NA,NA,1992,NA,NA,4,NA,3.91,0.954629167,12.77916667,26.05,7.625,7.625,-1.736602606,-99.5,0,NA,NA,NA,124,1992
1992,125,04/05/1992,20539.95182,1890.04818,1992,9.930175822,7.544886547,5,5350,4.13,0.915770833,15.76666667,22.64705882,3.833333333,3.833333333,-2.330527884,-133.5294118,0,NA,NA,NA,125,1992
1992,126,05/05/1992,NA,NA,1992,NA,NA,6,5270,4.11,1.000358333,15.67916667,28.38888889,5.875,5.875,-1.328389486,-76.11111111,0,NA,NA,NA,126,1992
1992,127,06/05/1992,NA,NA,1992,NA,NA,7,5200,4.08,1.002191667,14.32083333,30,22.66666667,22.66666667,-1.047197551,-60,0,NA,NA,NA,127,1992
1992,128,07/05/1992,NA,NA,1992,NA,NA,8,5340,3.84,0.966954167,13.18333333,28.95833333,17.54166667,17.54166667,-1.229002682,-70.41666667,0,NA,NA,NA,128,1992
1992,129,08/05/1992,2325.352883,374.6471172,1992,7.752057034,5.928650185,9,5520,3.55,0.8300625,12.39166667,24.91666667,14.95833333,14.95833333,-1.934406588,-110.8333333,0.4,NA,NA,NA,129,1992
1992,130,09/05/1992,NA,NA,1992,NA,NA,10,5590,3.17,0.154679167,10.16666667,19.75,15.29166667,15.29166667,-2.836160034,-162.5,9.2,NA,NA,NA,130,1992
1992,131,10/05/1992,NA,NA,1992,NA,NA,11,5670,2.88,0.873545833,10.14166667,28.29166667,26.29166667,26.29166667,-1.345357965,-77.08333333,0.4,NA,NA,NA,131,1992
1992,132,11/05/1992,NA,NA,1992,NA,NA,12,5510,2.48,1.052358333,9.766666667,23.04545455,11.08333333,11.08333333,-2.260994713,-129.5454545,0,NA,NA,NA,132,1992
1992,133,12/05/1992,56.64201847,28.35798153,1992,4.054251789,3.379564453,13,5320,2.78,1.076283333,10.0125,22.33333333,10.58333333,10.58333333,-2.385283311,-136.6666667,0,NA,NA,NA,133,1992
1992,134,13/05/1992,NA,NA,1992,NA,NA,14,5100,3.16,1.089275,12.70833333,29.95454545,10.29166667,10.29166667,-1.055130866,-60.45454545,0,NA,NA,NA,134,1992
1992,135,14/05/1992,NA,NA,1992,NA,NA,15,4930,3.48,1.097829167,12.3125,28.9047619,8.333333333,8.333333333,-1.23835266,-70.95238095,0,NA,NA,NA,135,1992
1994,105,15/04/1994,NA,NA,1994,NA,NA,-15,3330,3.08,0.575595833,10.31666667,17.5,13.75,13.75,3.054326191,175,0,NA,NA,NA,105,1994
1994,106,16/04/1994,NA,NA,1994,NA,NA,-14,3500,2.94,0.7797875,11.65416667,22.85714286,6.958333333,6.958333333,-2.293861303,-131.4285714,0,NA,NA,NA,106,1994
1994,107,17/04/1994,NA,NA,1994,NA,NA,-13,3410,2.83,0.845454167,12.69583333,24.72727273,7.791666667,7.791666667,-1.967462066,-112.7272727,0,NA,NA,NA,107,1994
1994,108,18/04/1994,NA,NA,1994,NA,NA,-12,3350,2.63,0.5868875,14.35,17.625,9.958333333,9.958333333,3.076142807,176.25,0.8,NA,NA,NA,108,1994
1994,109,19/04/1994,NA,NA,1994,NA,NA,-11,3500,2.61,0.68405,13.4875,15.77272727,10.58333333,10.58333333,2.752860229,157.7272727,1.8,NA,NA,NA,109,1994
1994,110,20/04/1994,26181.96782,48818.03218,1994,10.1728644,10.79587552,-10,3950,2.35,0.860279167,11.84166667,23.17391304,9.833333333,9.833333333,-2.238574475,-128.2608696,0,NA,NA,NA,110,1994
1994,111,21/04/1994,NA,NA,1994,NA,NA,-9,4410,2.4,0.620125,12.5,14.09090909,9,9,2.459327582,140.9090909,6.8,NA,NA,NA,111,1994
1994,112,22/04/1994,140190.4006,109809.5994,1994,11.85076392,11.60651234,-8,4610,2.19,0.9321,11.1875,13.7826087,7,7,2.405519013,137.826087,0,NA,NA,NA,112,1994
1994,113,23/04/1994,NA,NA,1994,NA,NA,-7,4720,2.75,0.908008333,11.44166667,22,12.375,12.375,-2.443460953,-140,0,NA,NA,NA,113,1994
1994,114,24/04/1994,NA,NA,1994,NA,NA,-6,5140,3.24,0.296604167,9.979166667,11.68181818,11.33333333,11.33333333,2.038861899,116.8181818,2.4,NA,NA,NA,114,1994
1994,115,25/04/1994,15636.27654,4363.723462,1994,9.657412865,8.381310113,-5,5510,3.82,0.792029167,10.8,26.7,13.375,13.375,-1.623156204,-93,0,NA,NA,NA,115,1994
