original_location_name,cleaned,station_n,station_s,sub_location,mumblies_yn,mud_yn,marsh_yn,tide_edge_yn,flying_yn
"""mumblies""",(mumblies),,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
104th,104th,104th,,,FALSE,FALSE,FALSE,FALSE,FALSE
34 St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th - small flock,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th and west outer mumblies,34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th marsh to CP corner,Coal Port corner to 34th St pullout (marsh),34th St pullout,Coal Port,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th outer mumblies,34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout -  marshes to west,34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout -  outer mumblies to eagle log,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - and to west,34th St pullout to West end 34th St pullout,34th St pullout,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout - at tide edge,34th St pullout (tide edge),34th St pullout,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
34th pullout - flying,34th St pullout (flying),34th St pullout,,flying,FALSE,FALSE,FALSE,FALSE,TRUE
34th pullout - inner edge mumblies,34th St pullout (inner mumblies),34th St pullout,,inner mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - inner mud,34th St pullout (inner mud),34th St pullout,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout - inner mud to bend area,34th St pullout to Bend (inner mud),Bend,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout - inner mud to east end pilings,34th St pullout to East end pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout - inner mumblies,34th St pullout (inner mumblies),34th St pullout,,inner mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - mumblies,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - mumblies islet,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - mumblies to eagle log,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - near mud,34th St pullout (inner mud),34th St pullout,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout - on mumblies,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - outer mud,34th St pullout (outer mud),34th St pullout,,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout - outer mumblies,34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - outer mumblies & west,34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - outer mumblies to eagle log,34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout - tide edge,34th St pullout (tide edge),34th St pullout,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
34th pullout - to CP corner area,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout (inner mud),34th St pullout (inner mud),34th St pullout,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout (marsh edge),34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout (near mud),34th St pullout (inner mud),34th St pullout,,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout (on mumblies to west),34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout (on mumblies),34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout (outer mud),34th St pullout (outer mud),34th St pullout,,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout (outer mumblies-scattered),34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout (outer mumblies),34th St pullout (outer mumblies),34th St pullout,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout and eastwards,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout and to west marshes edge,34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout and west,34th St pullout to West end 34th St pullout,34th St pullout,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout area,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout area - tide edge,34th St pullout (tide edge),34th St pullout,,tide edge,FALSE,FALSE,FALSE,TRUE,FALSE
34th pullout marsh,34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout marsh to near pilings,34th St pullout to Pilings (marsh),Pilings,34th St pullout,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout on mumblies,34th St pullout (mumblies),34th St pullout,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout to CP corner,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout to east end pilings,34th St pullout to East end pilings,Pilings,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th pullout to marsh to west,34th St pullout (marsh),34th St pullout,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th pullout to mid pilings - inner mud,34th St pullout to Pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout to mid pilings - on mumblies,34th St pullout to Pilings (mumblies),Pilings,34th St pullout,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
34th pullout to mid pilings(mud close to dike),34th St pullout to Pilings (mud close to dike),Pilings,34th St pullout,mud close to dike,FALSE,TRUE,FALSE,FALSE,FALSE
34th pullout to pilings,Pilings to 34th St pullout,Pilings,34th St pullout,,FALSE,FALSE,FALSE,FALSE,FALSE
34th st pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th street pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th Street pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
34th to Coal Port corner,Coal Port corner to 34th St pullout,34th St pullout,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE
34th to E end pilings (inner mud),34th St pullout to East end pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E of E end pilings (inner mud),34th St pullout to Bend (inner mud),Bend,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to E of east end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings (inner mud),34th St pullout to East end pilings (inner mud),Pilings,34th St pullout,inner mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings (outer mud),34th St pullout to East end pilings (outer mud),Pilings,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
34th to east end pilings marsh,34th St pullout to East end pilings (marsh),Pilings,34th St pullout,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
34th to view corner (outer mud),34th St pullout to View corner (outer mud),View corner,34th St pullout,outer mud,FALSE,TRUE,FALSE,FALSE,FALSE
35th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
36th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
37th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
38th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
39th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
40th St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
41st St pullout,34th St pullout,34th St pullout,,,FALSE,FALSE,FALSE,FALSE,FALSE
80th,80th,80th,,,FALSE,FALSE,FALSE,FALSE,FALSE
88th,88th,88th,,,FALSE,FALSE,FALSE,FALSE,FALSE
96th,96th,96th,,,FALSE,FALSE,FALSE,FALSE,FALSE
along dike,Brunswick dike,Brunswick dike,,,FALSE,FALSE,FALSE,FALSE,FALSE
along from CP corner to 34th marsh,Coal Port corner to 34th St pullout (marsh),34th St pullout,Coal Port,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
along outer edge of mumblies,(outer mumblies),,,outer mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
along to pilings,Pilings,Pilings,,,FALSE,FALSE,FALSE,FALSE,FALSE
around BP tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
around marsh tip of Bruns Pt,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,FALSE,FALSE,TRUE,FALSE,FALSE
at banding marsh,Banding marsh,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
at marsh spit,at marsh spit,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
banding marsh,Banding marsh,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
banding site,Banding site,Coal Port,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before CP corner,Coal Port corner,Coal Port,,,FALSE,FALSE,FALSE,FALSE,FALSE
before marsh,before marsh,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before marsh at footbridge,before marsh at footbridge,,,marsh,FALSE,FALSE,TRUE,FALSE,FALSE
before pilings,Pilings,Pilings,,,FALSE,FALSE,FALSE,FALSE,FALSE
bend - on mumblies,Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend ( on mumblies to eagle log),Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
bend (E of E end pilings)-on mumblies,Bend (mumblies),Bend,,mumblies,TRUE,FALSE,FALSE,FALSE,FALSE
