record_id,date,tide,time,location,count_1,count_2,count_3,mean_count,in_daily_total_yn,raw_datafile
1,10-Apr-00,high-dropping,9:30,pilings,5047,,,5047,TRUE,BPPEEP00.xls
2,10-Apr-00,,,TOTAL,,,,5047,total,BPPEEP00.xls
3,17-Apr-00,rising,16:15,C.Port corner,1000,,,1000,TRUE,BPPEEP00.xls
4,17-Apr-00,rising,16:20,jetty side,10,,,10,TRUE,BPPEEP00.xls
5,17-Apr-00,rising,16:30,pilings,0,,,0,TRUE,BPPEEP00.xls
6,17-Apr-00,rising,16:35,bend edge,0,,,0,TRUE,BPPEEP00.xls
7,17-Apr-00,rising,16:40,Bruns.corner,9000,,,9000,TRUE,BPPEEP00.xls
8,17-Apr-00,rising,16:40,mudislet,5000,,,5000,TRUE,BPPEEP00.xls
9,17-Apr-00,,,TOTAL,,,,15010,total,BPPEEP00.xls
10,18-Apr-00,rising,16:20,C.Port corner,2100,,,2100,TRUE,BPPEEP00.xls
11,18-Apr-00,rising,16:20,jetty side,0,,,0,TRUE,BPPEEP00.xls
12,18-Apr-00,rising,16:25,corner to pilings,7030,,,7030,TRUE,BPPEEP00.xls
13,18-Apr-00,rising,16:30,pilings to Bruns.,2550,,,2550,TRUE,BPPEEP00.xls
14,18-Apr-00,rising,17:00,Bruns.corner,0,,,0,TRUE,BPPEEP00.xls
15,18-Apr-00,rising,17:00,WNW Brun.Corner,18700,,,18700,TRUE,BPPEEP00.xls
16,18-Apr-00,,,TOTAL,,,,30380,total,BPPEEP00.xls
17,19-Apr-00,rising,17:15,WNW Brun.Corner,32000,,,,FALSE,BPPEEP00.xls
18,19-Apr-00,rising,17:42,C.Port corner,0,,,0,TRUE,BPPEEP00.xls
19,19-Apr-00,rising,17:42,jetty side,0,,,0,TRUE,BPPEEP00.xls
20,19-Apr-00,rising,17:52,pilings,7000,,,7000,TRUE,BPPEEP00.xls
21,19-Apr-00,rising,17:55,bend edge,0,,,0,TRUE,BPPEEP00.xls
22,19-Apr-00,rising,18:00,Bruns.corner,0,,,0,TRUE,BPPEEP00.xls
23,19-Apr-00,rising,18:00,WNW Brun.Corner,19000,22000,26000,24750,TRUE,BPPEEP00.xls
24,19-Apr-00,,,TOTAL,,,,31750,total,BPPEEP00.xls
25,20-Apr-00,rising,18:18,C.Port corner,0,,,0,TRUE,BPPEEP00.xls
26,20-Apr-00,rising,18:18,jetty side,0,,,0,TRUE,BPPEEP00.xls
27,20-Apr-00,rising,18:25,pilings,2000,,,2000,TRUE,BPPEEP00.xls
28,20-Apr-00,rising,18:30,bend edge,0,,,0,TRUE,BPPEEP00.xls
29,20-Apr-00,rising,18:33,Bruns.corner,31000,30000,41000,34000,TRUE,BPPEEP00.xls
30,20-Apr-00,,,TOTAL,,,,36000,total,BPPEEP00.xls
31,21-Apr-00,dropping,8:55,Bruns.corner,4000,,,,FALSE,BPPEEP00.xls
32,21-Apr-00,dropping,9:30,C.Port corner,14100,14500,,14300,TRUE,BPPEEP00.xls
