"date","elev.min","elev.max","elev.median","elev.mean","elev.range","dateR","DOY","Year"
1991-04-15,0.73,4.34,3.26,2.99125,3.61,1991-04-15,105,1991
1991-04-16,0.56,4.43,3.355,3.03,3.87,1991-04-16,106,1991
1991-04-17,0.41,4.47,3.43,3.01666666666667,4.06,1991-04-17,107,1991
1991-04-18,0.4,4.5,3.445,2.98166666666667,4.1,1991-04-18,108,1991
1991-04-19,0.54,4.46,3.5,2.95875,3.92,1991-04-19,109,1991
1991-04-20,0.77,4.49,3.45,2.95625,3.72,1991-04-20,110,1991
1991-04-21,1.07,4.49,3.305,2.96708333333333,3.42,1991-04-21,111,1991
1991-04-22,1.4,4.48,3.075,2.98166666666667,3.08,1991-04-22,112,1991
1991-04-23,1.89,4.46,3.06,3.12041666666667,2.57,1991-04-23,113,1991
1991-04-24,2.14,4.63,3.12,3.20083333333333,2.49,1991-04-24,114,1991
1991-04-25,1.87,4.48,3.165,3.13666666666667,2.61,1991-04-25,115,1991
1991-04-26,1.46,4.36,3.145,3.11083333333333,2.9,1991-04-26,116,1991
1991-04-27,1.05,4.22,3.155,2.99125,3.17,1991-04-27,117,1991
1991-04-28,0.84,4.27,3.185,2.96041666666667,3.43,1991-04-28,118,1991
1991-04-29,0.59,4.29,3.215,2.86708333333333,3.7,1991-04-29,119,1991
1991-04-30,0.63,4.36,3.29,2.91166666666667,3.73,1991-04-30,120,1991
1991-05-01,0.68,4.35,3.305,2.9375,3.67,1991-05-01,121,1991
1991-05-02,0.9,4.44,3.365,2.98916666666667,3.54,1991-05-02,122,1991
1991-05-03,1.07,4.38,3.47,3.05291666666667,3.31,1991-05-03,123,1991
1991-05-04,1.19,4.29,3.395,2.99208333333333,3.1,1991-05-04,124,1991
1991-05-05,1.48,4.26,3.33,3.01625,2.78,1991-05-05,125,1991
1991-05-06,1.72,4.26,3.21,3.05208333333333,2.54,1991-05-06,126,1991
1991-05-07,2.1,4.33,3.1,3.14375,2.23,1991-05-07,127,1991
1991-05-08,2.29,4.44,3.035,3.16666666666667,2.15,1991-05-08,128,1991
1991-05-09,2.23,4.27,2.965,3.05625,2.04,1991-05-09,129,1991
1991-05-10,1.68,4.23,3.015,2.98916666666667,2.55,1991-05-10,130,1991
1991-05-11,1.33,4.21,3.24,3.05625,2.88,1991-05-11,131,1991
1991-05-12,0.92,4.38,3.355,3.06208333333333,3.46,1991-05-12,132,1991
1991-05-13,0.53,4.43,3.425,3.05041666666667,3.9,1991-05-13,133,1991
1991-05-14,0.23,4.51,3.555,2.99458333333333,4.28,1991-05-14,134,1991
1991-05-15,0.12,4.66,3.52,3.00833333333333,4.54,1991-05-15,135,1991
1992-04-15,1.68,4.67,3.32,3.31958333333333,2.99,1992-04-15,106,1992
1992-04-16,1.49,4.81,3.545,3.46041666666667,3.32,1992-04-16,107,1992
1992-04-17,1.18,4.85,3.66,3.42333333333333,3.67,1992-04-17,108,1992
1992-04-18,0.74,4.62,3.485,3.17291666666667,3.88,1992-04-18,109,1992
1992-04-19,0.71,4.68,3.41,3.15125,3.97,1992-04-19,110,1992
1992-04-20,0.82,4.6,3.52,3.14875,3.78,1992-04-20,111,1992
1992-04-21,0.99,4.59,3.51,3.12666666666667,3.6,1992-04-21,112,1992
1992-04-22,1.08,4.38,3.495,3.06125,3.3,1992-04-22,113,1992
1992-04-23,1.26,4.3,3.255,2.94875,3.04,1992-04-23,114,1992
